date,Caidian,Huangpi,Wuhan,Xinzhou,Xianning
16/05/2014 10:00,63.6,67.1,74.9,67.3,63.3
16/05/2014 11:00,70.2,72.3,80.1,71.6,65.6
16/05/2014 12:00,76.2,80.9,87.9,77.9,68.5
16/05/2014 13:00,86.5,83.1,89.7,79,76.2
16/05/2014 14:00,90,84.1,88.4,80.4,81.3
16/05/2014 15:00,91.7,86.4,91.2,82.9,83.7
16/05/2014 16:00,85,85,88.8,83,75.1
16/05/2014 17:00,101.5,94.4,98.2,90.5,81.8
16/05/2014 18:00,98.1,92.3,95.2,89.5,79.6
16/05/2014 19:00,94.8,89.4,92.6,84.7,73.8
16/05/2014 20:00,95.1,85.7,90.7,81.7,82.9
16/05/2014 21:00,84.5,82.3,84.9,78,68.7
16/05/2014 22:00,84.9,85.6,85.8,80.4,68
16/05/2014 23:00,88.6,89.8,90.6,82.8,68.3
17/05/2014 00:00,85.9,88.2,89.9,81.8,72.4
17/05/2014 01:00,91.4,91.4,94.4,84.3,84
17/05/2014 02:00,103.7,94.7,98.2,87.1,98.8
17/05/2014 03:00,107.5,97.6,100.4,95.5,110.1
17/05/2014 04:00,111.1,104.9,108.2,99.9,101.2
17/05/2014 05:00,101.3,100.5,106.2,94.9,94.1
17/05/2014 06:00,97.7,96.3,99,91.7,86.8
17/05/2014 07:00,95,89.2,93.6,86.5,85.6
17/05/2014 08:00,90.3,88.7,94.7,86.3,81.9
17/05/2014 09:00,82.9,82,87.6,80.7,77.5
17/05/2014 10:00,71.1,68.2,73.9,67.1,69.9
17/05/2014 11:00,65.5,64,68.9,63.8,66.4
17/05/2014 12:00,62.5,61.2,65.9,63.1,70.5
17/05/2014 13:00,62.6,60.5,63.9,62.2,73.4
17/05/2014 14:00,62.9,61.7,63.4,62.9,73.2
17/05/2014 15:00,67.3,65.8,66.6,65.7,70.7
17/05/2014 16:00,64.2,64.7,66.1,65.5,69.2
17/05/2014 17:00,59.6,63.6,64.7,64.8,65.5
17/05/2014 18:00,62.9,65.8,67.8,65.4,65.2
17/05/2014 19:00,61.2,64,63,63.5,64.9
17/05/2014 20:00,60.4,63.4,59.1,62.8,63.3
17/05/2014 21:00,60.6,63.8,59.9,63.7,61.7
17/05/2014 22:00,62,64.4,60.2,64.2,61
17/05/2014 23:00,64.5,64.8,60.6,64,62.2
18/05/2014 00:00,60.5,62.3,59.9,63.1,61.5
18/05/2014 01:00,59.1,62.4,59.4,63.9,60.7
18/05/2014 02:00,58.4,62.7,60.7,64.5,60.2
18/05/2014 03:00,73.3,69.7,67.7,68.3,64.5
18/05/2014 04:00,85.6,80.3,82.3,77,73.5
18/05/2014 05:00,93,88.4,95.3,84.4,78.5
18/05/2014 06:00,94.3,93.7,102.1,90.3,82.8
18/05/2014 07:00,95.7,97.7,106.8,94.5,86.3
18/05/2014 08:00,99,101.7,108.7,98.1,90.1
18/05/2014 09:00,94.9,100.8,107.1,98.7,88.2
18/05/2014 10:00,91.8,99,105.3,98.6,87.4
18/05/2014 11:00,89.7,94.1,99.9,96.2,88.5
18/05/2014 12:00,94.6,94.4,100.2,96.1,91.2
18/05/2014 13:00,102,96.9,100.5,97.4,91.8
18/05/2014 14:00,100.3,93.2,96.2,94,92.1
18/05/2014 15:00,97.1,90.4,92,92.1,89.6
18/05/2014 16:00,93.6,89.8,91,92.5,91.4
18/05/2014 17:00,95.1,89.4,88.7,91.2,90.9
18/05/2014 18:00,95.3,91.3,88.6,92.2,89.1
18/05/2014 19:00,96.6,92.9,90.8,94.4,93.3
18/05/2014 20:00,90.8,90.8,90,94,91.7
18/05/2014 21:00,84.9,88.7,89.3,93.5,90.1
18/05/2014 22:00,93.1,97.2,100.8,100,95.3
18/05/2014 23:00,92.9,98.7,103.3,99.2,86.5
19/05/2014 00:00,89.6,98.3,103.1,97.1,82.4
19/05/2014 01:00,81.7,92.1,97.1,91.6,79.2
19/05/2014 02:00,83.4,92.9,100.6,91.8,81
19/05/2014 03:00,83.3,92.5,99.1,93.3,86.6
19/05/2014 04:00,87.1,90.9,92.7,92.6,90.8
19/05/2014 05:00,98.9,98,98.8,101.5,102.6
19/05/2014 06:00,100.2,100.9,101.2,105.9,111.4
19/05/2014 07:00,105.2,109.4,108.7,113.7,119.3
19/05/2014 08:00,113.1,116.8,114.9,119.3,118.5
19/05/2014 09:00,120,120.8,117.3,119.6,118.7
19/05/2014 10:00,122.2,122.7,119.3,121.8,120.7
19/05/2014 11:00,123.9,123.5,123.2,122.3,121.4
19/05/2014 12:00,115.9,115.7,116.5,115.4,119
19/05/2014 13:00,112.8,109.6,109.6,108.9,119.5
19/05/2014 14:00,115.2,111.2,111.1,108.8,116.4
19/05/2014 15:00,112.3,110.1,111,106.7,110.3
19/05/2014 16:00,117.5,114.3,115.5,108.5,109.1
19/05/2014 17:00,132.1,123.2,126.4,112.2,110.6
19/05/2014 18:00,131,124.4,127.2,113.5,113
19/05/2014 19:00,140.6,130.3,136.1,117.2,118.9
19/05/2014 20:00,135,129.4,134.7,116.4,114.8
19/05/2014 21:00,129.5,128.4,133.4,115.3,111.2
19/05/2014 22:00,132.8,124,125.2,110.7,113.8
19/05/2014 23:00,136.4,126,127,112.4,113.7
20/05/2014 00:00,128.4,125.4,130.2,114.4,110.3
20/05/2014 01:00,113.7,111.1,105.8,103.6,106.4
20/05/2014 02:00,111.9,102.6,104.9,97.8,107
20/05/2014 03:00,102.5,104.2,102.9,105,107.7
20/05/2014 04:00,100.3,101.6,98.2,101.3,101.9
20/05/2014 05:00,90.3,91.3,88,92.9,102.7
20/05/2014 06:00,81.4,86.2,81.6,89.6,105.1
20/05/2014 07:00,81.9,83.9,78.8,87,106.8
20/05/2014 08:00,85.5,85.2,80.4,88.5,110.1
20/05/2014 09:00,92,89.8,85.7,90.9,111.3
20/05/2014 10:00,99,93.5,91.7,93.4,110.2
20/05/2014 11:00,107.9,103.3,104.1,101.2,111.8
20/05/2014 12:00,113.5,113.2,115.2,109.7,109.3
20/05/2014 13:00,129.5,127.5,134.8,121,112.6
20/05/2014 14:00,141.9,139.2,154.6,131.1,119.6
20/05/2014 15:00,182.5,162.8,179.9,148.8,151.9
20/05/2014 16:00,193.5,175.2,197.2,159.4,156.7
20/05/2014 17:00,214.5,193.9,217.5,172.9,163.5
20/05/2014 18:00,224.6,205.4,225.1,181,166
20/05/2014 19:00,219.4,198.6,212,176.6,167.7
20/05/2014 20:00,198.2,176.7,190.3,158.5,159.1
20/05/2014 21:00,198,169.7,188,155.9,166.3
20/05/2014 22:00,172.7,154.9,172.3,143.5,149.8
20/05/2014 23:00,166.6,160.4,170,149.9,144.2
21/05/2014 00:00,143.3,136.6,147.8,130.6,131.5
21/05/2014 01:00,126,131.3,139.1,130.7,125.9
21/05/2014 02:00,136.3,129.4,135.9,127.1,122.6
21/05/2014 03:00,139.4,129,136.9,127.2,123.2
21/05/2014 04:00,145,134.5,143.2,132.1,119.3
21/05/2014 05:00,134.7,132.3,146.7,133.5,125.5
21/05/2014 06:00,139.2,145.8,154.9,144.2,129.4
21/05/2014 07:00,171.2,163.1,173.6,158.3,164.6
